Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
TXN00000001,2026-06-28 21:17:16,Michael Weber,Butter,1,10.0,Debit Card,Dallas,Supermarket,Yes,New,Summer,Percentage Discount
TXN00000002,2026-04-07 15:21:50,Rebecca Oneill,Yogurt,1,21.15,Cash,Seattle,Convenience Store,No,Occasional,Spring,None
TXN00000003,2026-06-30 08:38:02,Abigail Acevedo,"Flour, Dish Soap, Onions, Baby Formula, Salsa, Mayonnaise, Milk, Toothpaste, Lettuce, Pet Food",10,112.52,Credit Card,Philadelphia,Supermarket,Yes,Regular,Summer,Loyalty Reward
TXN00000004,2026-08-10 05:23:19,Virginia Cunningham,"Laundry Detergent, Lettuce, Cooking Oil, Ground Beef",4,40.65,Cash,Portland,Supermarket,Yes,Regular,Summer,Percentage Discount
TXN00000005,2025-05-12 00:03:08,Dennis Douglas,"Apples, Yogurt, Shampoo, Mayonnaise, BBQ Sauce, Toothpaste, Chocolate",7,110.74,Credit Card,Austin,Supermarket,No,Premium,Spring,None
TXN00000006,2025-02-11 02:38:12,Daniel Benjamin,"Sugar, Chips, Cookies, Yogurt",4,40.14,Mobile Payment,Dallas,Supermarket,No,Regular,Winter,None
TXN00000007,2025-10-29 05:22:01,Jeffrey Smith,"Laundry Detergent, Ketchup, Chocolate, Tomatoes, Ground Beef, Toilet Paper, Tea, Yogurt, Dish Soap",9,130.49,Credit Card,Dallas,Supermarket,No,VIP,Fall,None
TXN00000008,2025-07-16 10:37:10,Amber Walker,"Butter, Ice Cream, Cereal, Eggs, Pet Food, Cereal Bars, Rice, Salsa",8,82.58,Cash,Jacksonville,Online,Yes,Occasional,Summer,Loyalty Reward
TXN00000009,2026-03-21 04:23:38,Alison Perez,"Tomatoes, Tortillas, Peanut Butter, Jam, Olive Oil",5,53.88,Credit Card,San Jose,Department Store,No,Premium,Spring,None
TXN00000010,2025-07-11 10:04:58,Ethan Jones,Cereal Bars,1,4.57,Debit Card,Columbus,Online,No,Occasional,Summer,None
TXN00000011,2025-08-14 02:05:11,Traci Martinez,"Cookies, Beer, Chicken Breast",3,16.43,Cash,Nashville,Warehouse Club,Yes,VIP,Summer,Seasonal Offer
TXN00000012,2025-06-14 13:30:28,Harold Mckinney,"Tomatoes, Chicken Breast, Pet Food, Tea, BBQ Sauce, Ice Cream, Potatoes, Lettuce",8,55.83,Credit Card,Boston,Convenience Store,Yes,Premium,Summer,Percentage Discount
TXN00000013,2025-09-11 02:48:03,Nicole Phillips,"Granola, Honey, Bread, BBQ Sauce, Mustard, Dish Soap, Flour",7,66.14,Credit Card,Portland,Convenience Store,Yes,VIP,Fall,None
TXN00000014,2024-12-30 10:35:19,Corey Roberts,"Chocolate, Coffee, Shampoo, Tea, Peanut Butter, Bananas, Wine, Yogurt",8,139.9,Mobile Payment,Nashville,Warehouse Club,No,Premium,Winter,None
